IMF,amount,MAPE,MAE,MSE,RMSE,DTW
2_3_residue,71,3.1,120.31,35609.76,188.71,18599.796073584617
2_3_residue,72,3.14,113.93,33270.83,182.4,16652.057704655053
2_3_residue,73,3.19,118.45,34440.72,185.58,17892.913541848568
2_3_residue,74,3.17,118.76,32801.5,181.11,17546.215313672066
2_3_residue,75,3.23,120.8,38139.4,195.29,17276.676454854925
2_3_residue,76,2.94,109.15,30764.8,175.4,16475.72402301195
2_3_residue,77,3.03,116.3,35171.1,187.54,16314.82432811789
2_3_residue,78,3.08,112.98,32585.24,180.51,17020.425319330883
2_3_residue,79,3.23,124.3,40134.17,200.34,17350.260097194292
2_3_residue,80,3.0,110.84,31264.5,176.82,17291.890393824084
2_3_residue,81,3.04,117.93,34992.88,187.06,17575.49908458141
2_3_residue,82,2.93,105.93,30477.93,174.58,15626.982840131852
2_3_residue,83,2.96,106.01,30031.61,173.3,16075.68942757986
2_3_residue,84,2.73,99.23,28470.83,168.73,15215.367351829884
2_3_residue,85,2.83,103.48,26761.42,163.59,15347.56592926999
2_3_residue,86,2.79,100.3,27976.55,167.26,15658.1621854949
2_3_residue,87,2.92,111.29,34226.72,185.0,15543.675343049785
2_3_residue,88,2.75,101.63,29507.35,171.78,14840.22230947355
2_3_residue,89,2.81,102.7,26751.85,163.56,15000.586624938323
2_3_residue,90,2.58,94.64,26091.56,161.53,14390.526075722437
2_3_residue,91,2.84,103.32,28425.53,168.6,14909.718735151688
2_3_residue,92,2.53,87.97,22606.35,150.35,12880.801487917885
2_3_residue,93,2.46,90.31,25390.53,159.34,13849.093228911272
2_3_residue,94,2.63,95.4,27937.26,167.14,14350.935885256966
2_3_residue,95,2.59,91.37,25782.1,160.57,13295.07739144909
2_3_residue,96,2.8,106.59,32198.79,179.44,15741.590315862371
2_3_residue,97,2.49,90.7,23089.54,151.95,14581.292462348272
2_3_residue,98,2.49,89.17,23302.14,152.65,13291.036091204343
2_3_residue,99,2.51,93.33,29022.66,170.36,13950.302859690766
2_3_residue,100,2.53,91.29,25588.83,159.97,13471.329225174202
2_3_residue,101,2.4,91.95,27626.18,166.21,14053.14974143788
2_3_residue,102,2.4,93.63,28843.5,169.83,14367.01132065086
2_3_residue,103,2.39,85.69,23564.93,153.51,13099.70297808994
2_3_residue,104,2.31,77.62,17446.93,132.09,11073.250381316477
2_3_residue,105,2.42,89.91,25072.68,158.34,13424.014993758032
2_3_residue,106,2.42,90.97,25439.33,159.5,13969.927498143432
2_3_residue,107,2.21,79.96,22338.83,149.46,11796.137892649447
2_3_residue,108,2.19,74.35,19469.86,139.53,11456.467586086965
2_3_residue,109,2.06,73.36,19247.56,138.74,11488.20662631694
2_3_residue,110,2.04,66.52,16286.47,127.62,10391.9971384587
2_3_residue,111,2.04,73.64,19972.75,141.32,11767.559106448169
2_3_residue,112,2.29,86.52,24996.2,158.1,13306.810107391284
2_3_residue,113,2.03,71.37,17024.52,130.48,11063.424741937391
2_3_residue,114,1.7,53.13,12101.59,110.01,8207.564167660996
2_3_residue,115,2.05,74.65,20383.76,142.77,11769.52932806747
2_3_residue,116,2.03,70.39,19660.93,140.22,10905.614564364938
2_3_residue,117,1.88,62.34,16430.81,128.18,9992.056405199191
2_3_residue,118,1.9,66.84,17786.01,133.36,10489.009112688384
2_3_residue,119,1.95,63.79,18528.95,136.12,10407.500198894772
2_3_residue,120,1.65,52.55,12152.52,110.24,8150.638319600038
2_3_residue,121,1.87,63.1,16701.92,129.24,9105.924367374222
2_3_residue,122,1.69,53.05,15167.58,123.16,7346.851654359924
2_3_residue,123,1.57,48.31,10725.49,103.56,7613.371322194089
2_3_residue,124,1.77,58.23,14422.34,120.09,8756.578563233574
2_3_residue,125,1.76,61.05,17147.21,130.95,9115.222798354367
2_3_residue,126,1.49,46.04,11425.22,106.89,7197.43011363294
2_3_residue,127,1.57,52.5,13530.0,116.32,7981.749311183743
2_3_residue,128,1.57,47.86,11740.23,108.35,7395.911770888275
2_3_residue,129,1.44,40.39,8893.63,94.31,5829.035889614543
2_3_residue,130,1.59,56.24,15168.95,123.16,8270.127757739483
2_3_residue,131,1.45,40.79,8883.03,94.25,5942.893223434074
2_3_residue,132,1.27,38.26,7452.41,86.33,5416.519169081011
2_3_residue,133,1.28,33.03,6448.12,80.3,4740.338006748321
2_3_residue,134,1.3,35.32,6699.49,81.85,4997.37279540865
2_3_residue,135,1.25,30.69,6091.08,78.05,4398.690402570858
2_3_residue,136,1.24,31.67,6476.8,80.48,4520.71661886214
2_3_residue,137,1.3,36.53,8517.16,92.29,5519.548605651848
2_3_residue,138,1.11,28.44,5675.6,75.34,4232.027450976613
2_3_residue,139,1.04,25.48,3030.45,55.05,4040.6525391597006
2_3_residue,140,1.07,30.84,8098.34,89.99,4599.326159964094
