IMF,amount,MAPE,MAE,MSE,RMSE,DTW
2+3+residue,59,0.99,41.65,2860.59,53.48,7880.276756811505
2+3+residue,60,0.99,41.82,2899.22,53.84,7647.5203496376125
2+3+residue,61,0.97,41.2,2784.03,52.76,7392.076480671451
2+3+residue,62,0.99,41.99,2987.79,54.66,7308.812463866923
2+3+residue,63,0.97,41.21,2735.86,52.31,7578.423884070326
2+3+residue,64,0.98,41.37,2776.4,52.69,7771.444911130624
2+3+residue,65,0.94,39.77,2636.03,51.34,7622.201250784787
2+3+residue,66,0.94,39.44,2566.88,50.66,7761.7959025373875
2+3+residue,67,0.95,40.24,2676.54,51.74,7586.723238420145
2+3+residue,68,0.99,41.78,2910.78,53.95,7966.253662342635
2+3+residue,69,0.95,39.98,2629.8,51.28,7276.900018122082
2+3+residue,70,0.92,39.17,2602.36,51.01,7394.607436606708
2+3+residue,71,0.93,39.3,2639.82,51.38,6876.890180338583
2+3+residue,72,0.93,39.15,2612.54,51.11,7452.222034041366
2+3+residue,73,0.94,39.49,2743.02,52.37,7088.19252071838
2+3+residue,74,0.93,39.08,2679.85,51.77,7381.001621765718
2+3+residue,75,0.89,37.51,2391.43,48.9,7414.626979286646
2+3+residue,76,0.94,39.58,2576.57,50.76,7801.508942505618
2+3+residue,77,0.92,38.66,2575.0,50.74,7188.221939618656
2+3+residue,78,0.92,38.88,2620.36,51.19,7182.243978306398
2+3+residue,79,0.9,38.11,2541.42,50.41,7140.341695428286
2+3+residue,80,0.91,38.74,2506.41,50.06,7462.189347474054
2+3+residue,81,0.91,38.42,2467.29,49.67,7317.046172600292
2+3+residue,82,0.88,37.35,2315.28,48.12,7469.408346326902
2+3+residue,83,0.88,36.85,2462.29,49.62,7164.981838926789
2+3+residue,84,0.91,38.36,2497.1,49.97,7735.029703474502
2+3+residue,85,0.92,38.55,2560.06,50.6,7244.200655921433
2+3+residue,86,0.88,37.0,2401.28,49.0,7241.381141538017
2+3+residue,87,0.89,37.63,2528.8,50.29,7325.650531359206
2+3+residue,88,0.9,38.18,2508.8,50.09,7069.710462982774
2+3+residue,89,0.87,36.71,2431.04,49.31,7144.410250683621
2+3+residue,90,0.88,37.12,2526.47,50.26,6554.554299943406
2+3+residue,91,0.87,36.98,2422.37,49.22,7089.78465114183
2+3+residue,92,0.84,35.0,2212.2,47.03,6938.48980044569
2+3+residue,93,0.86,36.62,2414.6,49.14,7231.116792496203
2+3+residue,94,0.88,37.3,2484.06,49.84,7428.167337267612
2+3+residue,95,0.82,34.63,2248.26,47.42,6862.577043849291
2+3+residue,96,0.86,36.43,2310.38,48.07,7176.041629694188
2+3+residue,97,0.85,35.65,2218.78,47.1,6981.093822876632
2+3+residue,98,0.86,36.38,2358.88,48.57,6764.653514840871
2+3+residue,99,0.87,37.03,2403.93,49.03,7370.060785272466
2+3+residue,100,0.86,36.54,2341.33,48.39,7321.795065454218
2+3+residue,101,0.81,33.98,2081.28,45.62,6916.168321019137
2+3+residue,102,0.83,35.33,2236.28,47.29,6992.007535313718
2+3+residue,103,0.85,36.23,2326.76,48.24,7157.171820919237
2+3+residue,104,0.85,35.82,2246.02,47.39,7436.311263768946
